Rownum,Species,Popn,Year,UniID,mom,ID,Temp,date,Jdate,M0,Mi,iw,fw,active,instar,time,t.in,t.out,duration,mgain
323,Pieris_rapae,Seattle_WA,1999,23C.M3.2,3,2,23,36460,300,43.16,144.07,144.07,213.88,yes,5th,54.13333333,19.43,19,23.28333333,69.81
324,Pieris_rapae,Seattle_WA,1999,23C.M3.2,3,2,23,36461,301,43.16,213.88,213.88,NA,no,P,79.13333333,19,20,25,NA
325,Pieris_rapae,Seattle_WA,1999,23C.M3.3,3,3,23,36458,298,57.22,57.22,57.22,57.22,yes,5th,0,12.52,12.52,0,0
326,Pieris_rapae,Seattle_WA,1999,23C.M3.3,3,3,23,36458,298,57.22,57.22,57.22,68.03,yes,5th,7.133333333,12.52,20,7.133333333,10.81
327,Pieris_rapae,Seattle_WA,1999,23C.M3.3,3,3,23,36459,299,57.22,68.03,68.03,103.78,yes,5th,25.05,20,13.55,17.91666667,35.75
328,Pieris_rapae,Seattle_WA,1999,23C.M3.3,3,3,23,36459,299,57.22,103.78,103.78,112.39,yes,5th,30.85,13.55,19.43,5.8,8.61
329,Pieris_rapae,Seattle_WA,1999,23C.M3.3,3,3,23,36460,300,57.22,112.39,112.39,171.32,yes,5th,54.13333333,19.43,19,23.28333333,58.93
330,Pieris_rapae,Seattle_WA,1999,23C.M3.3,3,3,23,36461,301,57.22,171.32,171.32,211.98,yes,5th,79.13333333,19,20,25,40.66
331,Pieris_rapae,Seattle_WA,1999,23C.M5.1,5,1,23,36458,298,49.62,49.62,49.62,49.62,yes,5th,0,12.52,12.52,0,0
332,Pieris_rapae,Seattle_WA,1999,23C.M5.1,5,1,23,36458,298,49.62,49.62,49.62,65.94,yes,5th,7.133333333,12.52,20,7.133333333,16.32
333,Pieris_rapae,Seattle_WA,1999,23C.M5.1,5,1,23,36459,299,49.62,65.94,65.94,138.88,yes,5th,25.05,20,13.55,17.91666667,72.94
334,Pieris_rapae,Seattle_WA,1999,23C.M5.1,5,1,23,36459,299,49.62,138.88,138.88,175.76,yes,5th,30.85,13.55,19.43,5.8,36.88
335,Pieris_rapae,Seattle_WA,1999,23C.M5.1,5,1,23,36460,300,49.62,175.76,175.76,205.8,yes,5th,54.13333333,19.43,19,23.28333333,30.04
336,Pieris_rapae,Seattle_WA,1999,23C.M5.1,5,1,23,36461,301,49.62,205.8,205.8,NA,no,P,79.13333333,19,20,25,NA
337,Pieris_rapae,Seattle_WA,1999,23C.M5.2,5,2,23,36458,298,57.2,57.2,57.2,57.2,yes,5th,0,12.52,12.52,0,0
338,Pieris_rapae,Seattle_WA,1999,23C.M5.2,5,2,23,36458,298,57.2,57.2,57.2,71.45,yes,5th,7.133333333,12.52,20,7.133333333,14.25
339,Pieris_rapae,Seattle_WA,1999,23C.M5.2,5,2,23,36459,299,57.2,71.45,71.45,142.23,yes,5th,25.05,20,13.55,17.91666667,70.78
340,Pieris_rapae,Seattle_WA,1999,23C.M5.2,5,2,23,36459,299,57.2,142.23,142.23,162.15,yes,5th,30.85,13.55,19.43,5.8,19.92
341,Pieris_rapae,Seattle_WA,1999,23C.M5.2,5,2,23,36460,300,57.2,162.15,162.15,203.65,yes,5th,54.13333333,19.43,19,23.28333333,41.5
342,Pieris_rapae,Seattle_WA,1999,23C.M5.2,5,2,23,36461,301,57.2,203.65,203.65,NA,no,P,79.13333333,19,20,25,NA
343,Pieris_rapae,Seattle_WA,1999,23C.M8.2,8,2,23,36458,298,52.55,52.55,52.55,52.55,yes,5th,0,12.52,12.52,0,0
344,Pieris_rapae,Seattle_WA,1999,23C.M8.2,8,2,23,36458,298,52.55,52.55,52.55,63.33,yes,5th,7.133333333,12.52,20,7.133333333,10.78
345,Pieris_rapae,Seattle_WA,1999,23C.M8.2,8,2,23,36459,299,52.55,63.33,63.33,80.45,yes,5th,25.05,20,13.55,17.91666667,17.12
346,Pieris_rapae,Seattle_WA,1999,23C.M8.2,8,2,23,36459,299,52.55,80.45,80.45,86.27,yes,5th,30.85,13.55,19.43,5.8,5.82
347,Pieris_rapae,Seattle_WA,1999,23C.M8.2,8,2,23,36460,300,52.55,86.27,86.27,123.91,yes,5th,54.13333333,19.43,19,23.28333333,37.64
348,Pieris_rapae,Seattle_WA,1999,23C.M8.2,8,2,23,36461,301,52.55,123.91,123.91,143.41,yes,5th,79.13333333,19,20,25,19.5
349,Pieris_rapae,Seattle_WA,1999,23C.M9.1,9,1,23,36458,298,45.85,45.85,45.85,45.85,yes,5th,0,12.52,12.52,0,0
350,Pieris_rapae,Seattle_WA,1999,23C.M9.1,9,1,23,36458,298,45.85,45.85,45.85,63.94,yes,5th,7.133333333,12.52,20,7.133333333,18.09
351,Pieris_rapae,Seattle_WA,1999,23C.M9.1,9,1,23,36459,299,45.85,63.94,63.94,128.12,yes,5th,25.05,20,13.55,17.91666667,64.18
352,Pieris_rapae,Seattle_WA,1999,23C.M9.1,9,1,23,36459,299,45.85,128.12,128.12,150.3,yes,5th,30.85,13.55,19.43,5.8,22.18
353,Pieris_rapae,Seattle_WA,1999,23C.M9.1,9,1,23,36460,300,45.85,150.3,150.3,175.27,yes,5th,54.13333333,19.43,19,23.28333333,24.97
354,Pieris_rapae,Seattle_WA,1999,23C.M9.1,9,1,23,36461,301,45.85,175.27,175.27,NA,no,P,79.13333333,19,20,25,NA
355,Pieris_rapae,Seattle_WA,1999,29C.M10.1,10,1,29,36460,300,54.56,54.56,54.56,54.56,yes,5th,0,13.05,13.05,0,0
356,Pieris_rapae,Seattle_WA,1999,29C.M10.1,10,1,29,36460,300,54.56,54.56,54.56,78.49,yes,5th,6.333333333,13.05,19.25,6.333333333,23.93
357,Pieris_rapae,Seattle_WA,1999,29C.M10.1,10,1,29,36461,301,54.56,78.49,78.49,98.5,yes,5th,24.16666667,19.25,13.15,17.83333333,20.01
358,Pieris_rapae,Seattle_WA,1999,29C.M10.1,10,1,29,36461,301,54.56,98.5,98.5,123.02,yes,5th,29.83333333,13.15,18.55,5.666666667,24.52
359,Pieris_rapae,Seattle_WA,1999,29C.M10.1,10,1,29,36462,302,54.56,123.02,123.02,171.94,yes,5th,53.66666667,18.55,18.45,23.83333333,48.92
360,Pieris_rapae,Seattle_WA,1999,29C.M10.1,10,1,29,36463,303,54.56,171.94,171.94,148.48,yes,5th,77.66666667,18.45,18.45,24,-23.46
361,Pieris_rapae,Seattle_WA,1999,29C.M10.2,10,2,29,36460,300,54.47,54.47,54.47,54.47,yes,5th,0,13.05,13.05,0,0
362,Pieris_rapae,Seattle_WA,1999,29C.M10.2,10,2,29,36460,300,54.47,54.47,54.47,74.74,yes,5th,6.333333333,13.05,19.25,6.333333333,20.27
363,Pieris_rapae,Seattle_WA,1999,29C.M10.2,10,2,29,36461,301,54.47,74.74,74.74,146.16,yes,5th,24.16666667,19.25,13.15,17.83333333,71.42
364,Pieris_rapae,Seattle_WA,1999,29C.M10.2,10,2,29,36461,301,54.47,146.16,146.16,157.51,yes,5th,29.83333333,13.15,18.55,5.666666667,11.35
365,Pieris_rapae,Seattle_WA,1999,29C.M10.2,10,2,29,36462,302,54.47,157.51,157.51,197.74,yes,5th,53.66666667,18.55,18.45,23.83333333,40.23
366,Pieris_rapae,Seattle_WA,1999,29C.M10.2,10,2,29,36463,303,54.47,197.74,197.74,183.12,yes,5th,77.66666667,18.45,18.45,24,-14.62
367,Pieris_rapae,Seattle_WA,1999,29C.M11.1,11,1,29,36460,300,48.57,48.57,48.57,48.57,yes,5th,0,13.05,13.05,0,0
368,Pieris_rapae,Seattle_WA,1999,29C.M11.1,11,1,29,36460,300,48.57,48.57,48.57,63.19,yes,5th,6.333333333,13.05,19.25,6.333333333,14.62
369,Pieris_rapae,Seattle_WA,1999,29C.M11.1,11,1,29,36461,301,48.57,63.19,63.19,145.11,yes,5th,24.16666667,19.25,13.15,17.83333333,81.92
370,Pieris_rapae,Seattle_WA,1999,29C.M11.1,11,1,29,36461,301,48.57,145.11,145.11,157.44,yes,5th,29.83333333,13.15,18.55,5.666666667,12.33
371,Pieris_rapae,Seattle_WA,1999,29C.M11.1,11,1,29,36462,302,48.57,157.44,157.44,179.04,yes,5th,53.66666667,18.55,18.45,23.83333333,21.6
372,Pieris_rapae,Seattle_WA,1999,29C.M11.1,11,1,29,36463,303,48.57,179.04,179.04,NA,no,P,77.66666667,18.45,18.45,24,NA
373,Pieris_rapae,Seattle_WA,1999,29C.M11.2,11,2,29,36460,300,46.3,46.3,46.3,46.3,yes,5th,0,13.05,13.05,0,0
374,Pieris_rapae,Seattle_WA,1999,29C.M11.2,11,2,29,36460,300,46.3,46.3,46.3,69.72,yes,5th,6.333333333,13.05,19.25,6.333333333,23.42
375,Pieris_rapae,Seattle_WA,1999,29C.M11.2,11,2,29,36461,301,46.3,69.72,69.72,153.74,yes,5th,24.16666667,19.25,13.15,17.83333333,84.02
376,Pieris_rapae,Seattle_WA,1999,29C.M11.2,11,2,29,36461,301,46.3,153.74,153.74,145.92,yes,5th,29.83333333,13.15,18.55,5.666666667,-7.82
377,Pieris_rapae,Seattle_WA,1999,29C.M11.2,11,2,29,36462,302,46.3,145.92,145.92,181.72,yes,5th,53.66666667,18.55,18.45,23.83333333,35.8
378,Pieris_rapae,Seattle_WA,1999,29C.M11.2,11,2,29,36463,303,46.3,181.72,181.72,182.22,yes,5th,77.66666667,18.45,18.45,24,0.5
379,Pieris_rapae,Seattle_WA,1999,29C.M12.1,12,1,29,36460,300,52.31,52.31,52.31,52.31,yes,5th,0,13.05,13.05,0,0
380,Pieris_rapae,Seattle_WA,1999,29C.M12.1,12,1,29,36460,300,52.31,52.31,52.31,75.14,yes,5th,6.333333333,13.05,19.25,6.333333333,22.83
381,Pieris_rapae,Seattle_WA,1999,29C.M12.1,12,1,29,36461,301,52.31,75.14,75.14,164.79,yes,5th,24.16666667,19.25,13.15,17.83333333,89.65
382,Pieris_rapae,Seattle_WA,1999,29C.M12.1,12,1,29,36461,301,52.31,164.79,164.79,176.82,yes,5th,29.83333333,13.15,18.55,5.666666667,12.03
383,Pieris_rapae,Seattle_WA,1999,29C.M12.1,12,1,29,36462,302,52.31,176.82,176.82,211.31,yes,5th,53.66666667,18.55,18.45,23.83333333,34.49
384,Pieris_rapae,Seattle_WA,1999,29C.M12.1,12,1,29,36463,303,52.31,211.31,211.31,169.47,yes,5th,77.66666667,18.45,18.45,24,-41.84
385,Pieris_rapae,Seattle_WA,1999,29C.M12.2,12,2,29,36460,300,47.24,47.24,47.24,47.24,yes,5th,0,13.05,13.05,0,0
386,Pieris_rapae,Seattle_WA,1999,29C.M12.2,12,2,29,36460,300,47.24,47.24,47.24,63.16,yes,5th,6.333333333,13.05,19.25,6.333333333,15.92
387,Pieris_rapae,Seattle_WA,1999,29C.M12.2,12,2,29,36461,301,47.24,63.16,63.16,134.71,yes,5th,24.16666667,19.25,13.15,17.83333333,71.55
388,Pieris_rapae,Seattle_WA,1999,29C.M12.2,12,2,29,36461,301,47.24,134.71,134.71,144.86,yes,5th,29.83333333,13.15,18.55,5.666666667,10.15
389,Pieris_rapae,Seattle_WA,1999,29C.M12.2,12,2,29,36462,302,47.24,144.86,144.86,150.95,yes,5th,53.66666667,18.55,18.45,23.83333333,6.09
390,Pieris_rapae,Seattle_WA,1999,29C.M12.2,12,2,29,36463,303,47.24,150.95,150.95,NA,no,P,77.66666667,18.45,18.45,24,NA
391,Pieris_rapae,Seattle_WA,1999,29C.M16.1,16,1,29,36460,300,54.03,54.03,54.03,54.03,yes,5th,0,13.05,13.05,0,0
392,Pieris_rapae,Seattle_WA,1999,29C.M16.1,16,1,29,36460,300,54.03,54.03,54.03,53.52,no,5th,6.333333333,13.05,19.25,6.333333333,-0.51
393,Pieris_rapae,Seattle_WA,1999,29C.M16.1,16,1,29,36461,301,54.03,53.52,53.52,110.61,yes,5th,24.16666667,19.25,13.15,17.83333333,57.09
394,Pieris_rapae,Seattle_WA,1999,29C.M16.1,16,1,29,36461,301,54.03,110.61,110.61,143.75,yes,5th,29.83333333,13.15,18.55,5.666666667,33.14
395,Pieris_rapae,Seattle_WA,1999,29C.M16.1,16,1,29,36462,302,54.03,143.75,143.75,221.94,yes,5th,53.66666667,18.55,18.45,23.83333333,78.19
396,Pieris_rapae,Seattle_WA,1999,29C.M16.1,16,1,29,36463,303,54.03,221.94,221.94,192.43,no,5th,77.66666667,18.45,18.45,24,-29.51
397,Pieris_rapae,Seattle_WA,1999,29C.M3.1,3,1,29,36460,300,40.9,40.9,40.9,40.9,yes,5th,0,13.05,13.05,0,0
398,Pieris_rapae,Seattle_WA,1999,29C.M3.1,3,1,29,36460,300,40.9,40.9,40.9,53.13,yes,5th,6.333333333,13.05,19.25,6.333333333,12.23
399,Pieris_rapae,Seattle_WA,1999,29C.M3.1,3,1,29,36461,301,40.9,53.13,53.13,100.4,yes,5th,24.16666667,19.25,13.15,17.83333333,47.27
400,Pieris_rapae,Seattle_WA,1999,29C.M3.1,3,1,29,36461,301,40.9,100.4,100.4,92.42,yes,5th,29.83333333,13.15,18.55,5.666666667,-7.98
401,Pieris_rapae,Seattle_WA,1999,29C.M3.1,3,1,29,36462,302,40.9,92.42,92.42,163.31,yes,5th,53.66666667,18.55,18.45,23.83333333,70.89
402,Pieris_rapae,Seattle_WA,1999,29C.M3.1,3,1,29,36463,303,40.9,163.31,163.31,177.36,yes,5th,77.66666667,18.45,18.45,24,14.05
403,Pieris_rapae,Seattle_WA,1999,29C.M3.2,3,2,29,36460,300,42.66,42.66,42.66,42.66,yes,5th,0,13.05,13.05,0,0
404,Pieris_rapae,Seattle_WA,1999,29C.M3.2,3,2,29,36460,300,42.66,42.66,42.66,58.48,yes,5th,6.333333333,13.05,19.25,6.333333333,15.82
405,Pieris_rapae,Seattle_WA,1999,29C.M3.2,3,2,29,36461,301,42.66,58.48,58.48,106.95,yes,5th,24.16666667,19.25,13.15,17.83333333,48.47
406,Pieris_rapae,Seattle_WA,1999,29C.M3.2,3,2,29,36461,301,42.66,106.95,106.95,123.56,yes,5th,29.83333333,13.15,18.55,5.666666667,16.61
407,Pieris_rapae,Seattle_WA,1999,29C.M3.2,3,2,29,36462,302,42.66,123.56,123.56,185.6,yes,5th,53.66666667,18.55,18.45,23.83333333,62.04
408,Pieris_rapae,Seattle_WA,1999,29C.M3.2,3,2,29,36463,303,42.66,185.6,185.6,211.37,yes,5th,77.66666667,18.45,18.45,24,25.77
409,Pieris_rapae,Seattle_WA,1999,29C.M5.1,5,1,29,36460,300,53.03,53.03,53.03,53.03,yes,5th,0,13.05,13.05,0,0
410,Pieris_rapae,Seattle_WA,1999,29C.M5.1,5,1,29,36460,300,53.03,53.03,53.03,74.1,yes,5th,6.333333333,13.05,19.25,6.333333333,21.07
411,Pieris_rapae,Seattle_WA,1999,29C.M5.1,5,1,29,36461,301,53.03,74.1,74.1,140.38,yes,5th,24.16666667,19.25,13.15,17.83333333,66.28
412,Pieris_rapae,Seattle_WA,1999,29C.M5.1,5,1,29,36461,301,53.03,140.38,140.38,179.73,yes,5th,29.83333333,13.15,18.55,5.666666667,39.35
413,Pieris_rapae,Seattle_WA,1999,29C.M5.1,5,1,29,36462,302,53.03,179.73,179.73,214.95,yes,5th,53.66666667,18.55,18.45,23.83333333,35.22
414,Pieris_rapae,Seattle_WA,1999,29C.M5.1,5,1,29,36463,303,53.03,214.95,214.95,NA,no,P,77.66666667,18.45,18.45,24,NA
415,Pieris_rapae,Seattle_WA,1999,29C.M8.1,8,1,29,36460,300,43.78,43.78,43.78,43.78,yes,5th,0,13.05,13.05,0,0
416,Pieris_rapae,Seattle_WA,1999,29C.M8.1,8,1,29,36460,300,43.78,43.78,43.78,60.25,yes,5th,6.333333333,13.05,19.25,6.333333333,16.47
417,Pieris_rapae,Seattle_WA,1999,29C.M8.1,8,1,29,36461,301,43.78,60.25,60.25,69.54,yes,5th,24.16666667,19.25,13.15,17.83333333,9.29
418,Pieris_rapae,Seattle_WA,1999,29C.M8.1,8,1,29,36461,301,43.78,69.54,69.54,66.71,no,5th,29.83333333,13.15,18.55,5.666666667,-2.83
419,Pieris_rapae,Seattle_WA,1999,29C.M8.1,8,1,29,36462,302,43.78,66.71,66.71,NA,no,5th,53.66666667,18.55,18.45,23.83333333,NA
420,Pieris_rapae,Seattle_WA,1999,29C.M8.1,8,1,29,36463,303,43.78,NA,NA,NA,no,5th,77.66666667,18.45,18.45,24,NA
421,Pieris_rapae,Seattle_WA,1999,29C.M8.2,8,2,29,36460,300,51.22,51.22,51.22,51.22,yes,5th,0,13.05,13.05,0,0
422,Pieris_rapae,Seattle_WA,1999,29C.M8.2,8,2,29,36460,300,51.22,51.22,51.22,60.88,yes,5th,6.333333333,13.05,19.25,6.333333333,9.66
423,Pieris_rapae,Seattle_WA,1999,29C.M8.2,8,2,29,36461,301,51.22,60.88,60.88,111.3,yes,5th,24.16666667,19.25,13.15,17.83333333,50.42
424,Pieris_rapae,Seattle_WA,1999,29C.M8.2,8,2,29,36461,301,51.22,111.3,111.3,114.32,yes,5th,29.83333333,13.15,18.55,5.666666667,3.02
425,Pieris_rapae,Seattle_WA,1999,29C.M8.2,8,2,29,36462,302,51.22,114.32,114.32,163.53,yes,5th,53.66666667,18.55,18.45,23.83333333,49.21
426,Pieris_rapae,Seattle_WA,1999,29C.M8.2,8,2,29,36463,303,51.22,163.53,163.53,180.15,yes,5th,77.66666667,18.45,18.45,24,16.62
427,Pieris_rapae,Seattle_WA,1999,29C.M8.3,8,3,29,36460,300,45.11,45.11,45.11,45.11,yes,5th,0,13.05,13.05,0,0
428,Pieris_rapae,Seattle_WA,1999,29C.M8.3,8,3,29,36460,300,45.11,45.11,45.11,66.73,yes,5th,6.333333333,13.05,19.25,6.333333333,21.62
429,Pieris_rapae,Seattle_WA,1999,29C.M8.3,8,3,29,36461,301,45.11,66.73,66.73,128.37,yes,5th,24.16666667,19.25,13.15,17.83333333,61.64
430,Pieris_rapae,Seattle_WA,1999,29C.M8.3,8,3,29,36461,301,45.11,128.37,128.37,161.3,yes,5th,29.83333333,13.15,18.55,5.666666667,32.93
431,Pieris_rapae,Seattle_WA,1999,29C.M8.3,8,3,29,36462,302,45.11,161.3,161.3,207.98,yes,5th,53.66666667,18.55,18.45,23.83333333,46.68
432,Pieris_rapae,Seattle_WA,1999,29C.M8.3,8,3,29,36463,303,45.11,207.98,207.98,176.54,yes,5th,77.66666667,18.45,18.45,24,-31.44
433,Pieris_rapae,Seattle_WA,1999,35C.M12.1,12,1,35,36465,305,55.44,55.44,55.44,55.44,yes,5th,0,13.23,13.23,0,0
434,Pieris_rapae,Seattle_WA,1999,35C.M12.1,12,1,35,36465,305,55.44,55.44,55.44,61.17,yes,5th,5.65,13.23,19.02,5.65,5.73
435,Pieris_rapae,Seattle_WA,1999,35C.M12.1,12,1,35,36466,306,55.44,61.17,61.17,45.99,yes,5th,25.98333333,19.02,15.22,20.33333333,-15.18
436,Pieris_rapae,Seattle_WA,1999,35C.M12.1,12,1,35,36466,306,55.44,45.99,45.99,51.32,yes,5th,31.38333333,15.22,20.46,5.4,5.33
437,Pieris_rapae,Seattle_WA,1999,35C.M12.1,12,1,35,36467,307,55.44,51.32,51.32,NA,no,5th,54.15,20.46,19.32,22.76666667,NA
438,Pieris_rapae,Seattle_WA,1999,35C.M12.1,12,1,35,36468,308,55.44,NA,NA,NA,no,5th,78,19.32,19.23,23.85,NA
439,Pieris_rapae,Seattle_WA,1999,35C.M13.1,13,1,35,36465,305,61.92,61.92,61.92,61.92,yes,5th,0,13.23,13.23,0,0
440,Pieris_rapae,Seattle_WA,1999,35C.M13.1,13,1,35,36465,305,61.92,61.92,61.92,91.7,yes,5th,5.65,13.23,19.02,5.65,29.78
441,Pieris_rapae,Seattle_WA,1999,35C.M13.1,13,1,35,36466,306,61.92,91.7,91.7,163.72,yes,5th,25.98333333,19.02,15.22,20.33333333,72.02
442,Pieris_rapae,Seattle_WA,1999,35C.M13.1,13,1,35,36466,306,61.92,163.72,163.72,173.61,yes,5th,31.38333333,15.22,20.46,5.4,9.89
443,Pieris_rapae,Seattle_WA,1999,35C.M13.1,13,1,35,36467,307,61.92,173.61,173.61,165.7,yes,5th,54.15,20.46,19.32,22.76666667,-7.91
444,Pieris_rapae,Seattle_WA,1999,35C.M13.1,13,1,35,36468,308,61.92,165.7,165.7,124.84,yes,5th,78,19.32,19.23,23.85,-40.86
445,Pieris_rapae,Seattle_WA,1999,35C.M13.2,13,2,35,36465,305,52.1,52.1,52.1,52.1,yes,5th,0,13.23,13.23,0,0
446,Pieris_rapae,Seattle_WA,1999,35C.M13.2,13,2,35,36465,305,52.1,52.1,52.1,75.19,yes,5th,5.65,13.23,19.02,5.65,23.09
447,Pieris_rapae,Seattle_WA,1999,35C.M13.2,13,2,35,36466,306,52.1,75.19,75.19,111.72,yes,5th,25.98333333,19.02,15.22,20.33333333,36.53
448,Pieris_rapae,Seattle_WA,1999,35C.M13.2,13,2,35,36466,306,52.1,111.72,111.72,140.54,yes,5th,31.38333333,15.22,20.46,5.4,28.82
449,Pieris_rapae,Seattle_WA,1999,35C.M13.2,13,2,35,36467,307,52.1,140.54,140.54,109.64,yes,5th,54.15,20.46,19.32,22.76666667,-30.9
450,Pieris_rapae,Seattle_WA,1999,35C.M13.2,13,2,35,36468,308,52.1,109.64,109.64,94.82,yes,5th,78,19.32,19.23,23.85,-14.82
451,Pieris_rapae,Seattle_WA,1999,35C.M13.3,13,3,35,36465,305,44.87,44.87,44.87,44.87,yes,5th,0,13.23,13.23,0,0
452,Pieris_rapae,Seattle_WA,1999,35C.M13.3,13,3,35,36465,305,44.87,44.87,44.87,69.78,yes,5th,5.65,13.23,19.02,5.65,24.91
453,Pieris_rapae,Seattle_WA,1999,35C.M13.3,13,3,35,36466,306,44.87,69.78,69.78,142.73,yes,5th,25.98333333,19.02,15.22,20.33333333,72.95
454,Pieris_rapae,Seattle_WA,1999,35C.M13.3,13,3,35,36466,306,44.87,142.73,142.73,171.78,yes,5th,31.38333333,15.22,20.46,5.4,29.05
455,Pieris_rapae,Seattle_WA,1999,35C.M13.3,13,3,35,36467,307,44.87,171.78,171.78,154.16,yes,5th,54.15,20.46,19.32,22.76666667,-17.62
456,Pieris_rapae,Seattle_WA,1999,35C.M13.3,13,3,35,36468,308,44.87,154.16,154.16,120.02,yes,5th,78,19.32,19.23,23.85,-34.14
457,Pieris_rapae,Seattle_WA,1999,35C.M15.1,15,1,35,36465,305,61.75,61.75,61.75,61.75,yes,5th,0,13.23,13.23,0,0
458,Pieris_rapae,Seattle_WA,1999,35C.M15.1,15,1,35,36465,305,61.75,61.75,61.75,72.87,yes,5th,5.65,13.23,19.02,5.65,11.12
459,Pieris_rapae,Seattle_WA,1999,35C.M15.1,15,1,35,36466,306,61.75,72.87,72.87,62.6,no,5th,25.98333333,19.02,15.22,20.33333333,-10.27
460,Pieris_rapae,Seattle_WA,1999,35C.M15.1,15,1,35,36466,306,61.75,62.6,62.6,59.55,no,5th,31.38333333,15.22,20.46,5.4,-3.05
461,Pieris_rapae,Seattle_WA,1999,35C.M15.1,15,1,35,36467,307,61.75,59.55,59.55,NA,no,5th,54.15,20.46,19.32,22.76666667,NA
462,Pieris_rapae,Seattle_WA,1999,35C.M15.1,15,1,35,36468,308,61.75,NA,NA,NA,no,5th,78,19.32,19.23,23.85,NA
463,Pieris_rapae,Seattle_WA,1999,35C.M15.2,15,2,35,36465,305,55.06,55.06,55.06,55.06,yes,5th,0,13.23,13.23,0,0
464,Pieris_rapae,Seattle_WA,1999,35C.M15.2,15,2,35,36465,305,55.06,55.06,55.06,65.65,yes,5th,5.65,13.23,19.02,5.65,10.59
465,Pieris_rapae,Seattle_WA,1999,35C.M15.2,15,2,35,36466,306,55.06,65.65,65.65,66.28,yes,5th,25.98333333,19.02,15.22,20.33333333,0.63
466,Pieris_rapae,Seattle_WA,1999,35C.M15.2,15,2,35,36466,306,55.06,66.28,66.28,63.16,no,5th,31.38333333,15.22,20.46,5.4,-3.12
467,Pieris_rapae,Seattle_WA,1999,35C.M15.2,15,2,35,36467,307,55.06,63.16,63.16,NA,no,5th,54.15,20.46,19.32,22.76666667,NA
468,Pieris_rapae,Seattle_WA,1999,35C.M15.2,15,2,35,36468,308,55.06,NA,NA,NA,no,5th,78,19.32,19.23,23.85,NA
469,Pieris_rapae,Seattle_WA,1999,35C.M15.3,15,3,35,36465,305,51.94,51.94,51.94,51.94,yes,5th,0,13.23,13.23,0,0
470,Pieris_rapae,Seattle_WA,1999,35C.M15.3,15,3,35,36465,305,51.94,51.94,51.94,72.17,yes,5th,5.65,13.23,19.02,5.65,20.23
471,Pieris_rapae,Seattle_WA,1999,35C.M15.3,15,3,35,36466,306,51.94,72.17,72.17,112.76,yes,5th,25.98333333,19.02,15.22,20.33333333,40.59
472,Pieris_rapae,Seattle_WA,1999,35C.M15.3,15,3,35,36466,306,51.94,112.76,112.76,136.62,yes,5th,31.38333333,15.22,20.46,5.4,23.86
473,Pieris_rapae,Seattle_WA,1999,35C.M15.3,15,3,35,36467,307,51.94,136.62,136.62,146.82,yes,5th,54.15,20.46,19.32,22.76666667,10.2
474,Pieris_rapae,Seattle_WA,1999,35C.M15.3,15,3,35,36468,308,51.94,146.82,146.82,138.71,yes,5th,78,19.32,19.23,23.85,-8.11
475,Pieris_rapae,Seattle_WA,1999,35C.M15.4,15,4,35,36465,305,54.2,54.2,54.2,54.2,yes,5th,0,13.23,13.23,0,0
476,Pieris_rapae,Seattle_WA,1999,35C.M15.4,15,4,35,36465,305,54.2,54.2,54.2,73.48,yes,5th,5.65,13.23,19.02,5.65,19.28
